年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,4,21,24.0,C
2025,4,22,24.4,C
2025,4,23,24.1,C
2025,4,24,24.6,C
2025,4,25,23.7,C
2025,4,26,21.6,C
2025,4,27,21.5,C
2025,4,28,22.3,C
2025,4,29,21.8,C
2025,4,30,21.9,C
2025,5,1,23.4,C
2025,5,2,23.4,C
2025,5,3,24.1,C
2025,5,4,24.2,C
2025,5,5,24.5,C
2025,5,6,25.7,C
2025,5,7,25.9,C
2025,5,8,24.8,C
2025,5,9,25.9,C
2025,5,10,24.2,C
2025,5,11,21.9,C
2025,5,12,20.5,C
2025,5,13,22.2,C
2025,5,14,24.2,C
2025,5,15,***,
2025,5,16,25.7,C
2025,5,17,25.4,C
2025,5,18,26.2,C
2025,5,19,26.8,C
2025,5,20,26.7,C
2025,5,21,26.3,C
2025,5,22,26.3,C
2025,5,23,27.2,C
2025,5,24,26.3,C
2025,5,25,24.7,C
2025,5,26,23.0,C
2025,5,27,23.0,C
2025,5,28,24.0,C
2025,5,29,25.0,C
2025,5,30,24.2,C
2025,5,31,23.3,C
2025,6,1,24.4,C
2025,6,2,27.1,C
2025,6,3,27.1,C
2025,6,4,26.3,C
2025,6,5,24.2,C
2025,6,6,25.1,C
2025,6,7,25.9,C
2025,6,8,26.5,C
2025,6,9,27.0,C
2025,6,10,27.2,C
2025,6,11,27.4,C
2025,6,12,26.5,C
2025,6,13,25.9,C
2025,6,14,27.1,C
2025,6,15,27.4,C
2025,6,16,27.4,C
2025,6,17,26.8,C
2025,6,18,26.7,C
2025,6,19,26.8,C
2025,6,20,27.0,C
2025,6,21,25.5,C
2025,6,22,27.1,C
2025,6,23,26.1,C
2025,6,24,27.1,C
2025,6,25,27.1,C
2025,6,26,25.8,C
2025,6,27,26.0,C
2025,6,28,26.6,C
2025,6,29,26.6,C
2025,6,30,26.2,C
2025,7,1,26.1,C
2025,7,2,26.8,C
2025,7,3,27.1,C
2025,7,4,27.2,C
2025,7,5,27.3,C
2025,7,6,26.2,C
2025,7,7,27.9,C
2025,7,8,28.1,C
2025,7,9,28.2,C
2025,7,10,24.1,C
2025,7,11,25.7,C
2025,7,12,25.7,C
2025,7,13,27.3,C
2025,7,14,26.7,C
2025,7,15,27.3,C
2025,7,16,28.2,C
2025,7,17,28.3,C
2025,7,18,28.7,C
2025,7,19,26.9,C
2025,7,20,25.8,C
2025,7,21,26.2,C
2025,7,22,26.7,C
2025,7,23,***,
2025,7,24,26.7,C
2025,7,25,26.9,C
2025,7,26,24.1,C
2025,7,27,27.7,C
2025,7,28,27.7,C
2025,7,29,25.8,C
2025,7,30,27.1,C
2025,7,31,28.1,C
2025,8,1,27.7,C
2025,8,2,26.6,C
2025,8,3,25.3,C
2025,8,4,25.5,C
2025,8,5,23.5,C
2025,8,6,24.8,C
2025,8,7,25.8,C
2025,8,8,26.8,C
2025,8,9,27.3,C
2025,8,10,27.8,C
2025,8,11,27.8,C
2025,8,12,26.6,C
2025,8,13,28.0,C
2025,8,14,24.0,C
2025,8,15,24.5,C
2025,8,16,25.9,C
2025,8,17,25.9,C
2025,8,18,24.6,C
2025,8,19,25.6,C
2025,8,20,26.3,C
2025,8,21,27.1,C
2025,8,22,26.5,C
2025,8,23,26.5,C
2025,8,24,26.9,C
2025,8,25,27.3,C
2025,8,26,27.2,C
2025,8,27,26.9,C
2025,8,28,26.3,C
2025,8,29,26.5,C
2025,8,30,26.4,C
2025,8,31,26.3,C
2025,9,1,26.2,C
2025,9,2,26.7,C
2025,9,3,26.5,C
2025,9,4,26.6,C
2025,9,5,26.5,C
2025,9,6,26.5,C
2025,9,7,26.7,C
2025,9,8,24.2,C
2025,9,9,26.2,C
2025,9,10,26.3,C
2025,9,11,25.8,C
2025,9,12,26.0,C
2025,9,13,25.9,C
2025,9,14,25.2,C
2025,9,15,25.9,C
2025,9,16,27.0,C
2025,9,17,23.7,C
2025,9,18,26.5,C
2025,9,19,26.0,C
2025,9,20,24.3,C
2025,9,21,25.2,C
2025,9,22,24.7,C
2025,9,23,25.8,C
2025,9,24,24.1,C
2025,9,25,25.2,C
2025,9,26,25.7,C
2025,9,27,26.0,C
2025,9,28,26.3,C
2025,9,29,26.4,C
2025,9,30,25.4,C
2025,10,1,27.3,C
2025,10,2,26.8,C
2025,10,3,26.0,C
2025,10,4,25.1,C
2025,10,5,25.5,C
2025,10,6,26.7,C
2025,10,7,24.7,C
2025,10,8,25.6,C
2025,10,9,26.4,C
2025,10,10,25.9,C
2025,10,11,25.9,C
2025,10,12,26.6,C
2025,10,13,26.4,C
2025,10,14,26.2,C
2025,10,15,26.0,C
2025,10,16,26.3,C
2025,10,17,25.9,C
2025,10,18,26.5,C
2025,10,19,26.2,C
2025,10,20,24.4,C
2025,10,21,22.2,C
2025,10,22,19.6,C
2025,10,23,18.9,C
2025,10,24,20.2,C
2025,10,25,21.6,C
2025,10,26,21.2,C
2025,10,27,22.0,C
2025,10,28,21.4,C
2025,10,29,21.7,C
2025,10,30,22.9,C
2025,10,31,22.3,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
C 數據完整/data Complete
